"","link","synopsis","summaries"
"1","http://www.imdb.com/title/tt0002130/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    The poet Dante is lost in a dark and gloomy wood. At the summit of a mountain he sees the light of salvation. He endeavors to ascend to it, but his way is barred by three wild beasts, symbolizing Avarice, Pride and Lust. Beatrice sees his predicament and descends from Paradise into Limbo, where she asks the poet Virgil to rescue and guide Dante. Virgil knows another way to go, but this leads straight through the entire Inferno, before it continues towards Paradise. Virgil leads Dante to the portals of Inferno. Charon ferries them over the river Acheron, and then they start their journey downwards through the different circles of Inferno. Dante meets all kind of sinners and sees the never-ending punishments they have to undergo. The various punishments are adjusted to the different transgressions. Among the sinners Dante recognizes many persons he has met in Florence, when they were still alive. They tell him their sad stories and why they have ended here. At last Dante and Virgil meets the arch traitor Lucifer, who holds the bodies of Brutus and Cassius in his mouth. The two poets climb down the shaggy sides of Lucifer, to reach the subterranean way which leads out of Inferno.
                        
                            —Maths Jesperson {maths.jesperson1@comhem.se}
                        
                
                
                    Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.
                        
                            —S Lascelles
                        
                
    Synopsis
    
                "
"2","http://www.imdb.com/title/tt0001892/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, where she falls in his arms. At her party some days later Hirsch turns up uninvited. He says he wants to give Stella a piece of jewelry, but she repulses his advances. When Waldberg sees this he knocks Hirsch down. Hirsch challenges him to a duel by cards. Waldberg loses all his money, and in the end also has to sign a promissory note on 85.000, which should be paid within 24 hours. To help Waldberg solve his debt Stella goes to Hirsch to receive the brooch he has promised her. While he turns away, she steals a precious necklace from him, but he happens to see the theft in a mirror. He tails her to a park, where he sees Stella giving the necklace to Waldberg. Hirsch tells Stella to come to him at midnight, if she wants him to be silent about the theft. When Waldberg finds out that Stella is going to Hirsch in the night, he becomes jealous and goes there as well. By mistake he happens to shoot Stella, who reveals her sacrifice for him before she dies.
                        
                            —Maths Jesperson {maths.jesperson1@comhem.se}
                        
                
    Synopsis
    
                "
"3","http://www.imdb.com/title/tt0194248/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"4","http://www.imdb.com/title/tt0191323/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    First film ever that was shot by two cameras. Set in 1854-1855, in Sevastopol and Yalta during the Crimean War. Admirals Kornilov (Mozzhukhin) and Nakhimov (Gromov) organize the defense during the siege of Sevastopol. Both admirals are killed during the battle, and the city of Sevastopol is taken by the alliance of British, French, Sardinian, and Turkish troops. The legendary feat of Sailor Koshka (Semenov) was staged at original location. The 100 minute-long film was premiered in 1911 at the Livadia, Yalta, palace for the Tsar Nicholas II.
                        
                            —Steve Shelokhonov
                        
                
    Synopsis
    
                "
"5","http://www.imdb.com/title/tt0175659/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"6","http://www.imdb.com/title/tt0210518/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Countess Anna Karenina is torn between her lover Vronsky, and her husband, Count Karenin. Anna's love to Vronsky causes her much pain and social pressure. Her passion to Vronsky drives Anna to leave her husband, but Vronsky goes to war, leaving her helpless. Anna feels so meaningless and lonely, that she becomes suicidal and throws herself under a train.
                        
                            —Steve Shelokhonov
                        
                
    Synopsis
    
                "
"7","http://www.imdb.com/title/tt0001498/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    We show Lord Nelson leaving the admiralty room where he makes his famous speech and then introduce him with his captains giving the details of that wonderful plan of attack which was carried out to the letter at Trafalgar, the inspirations of the captains and their enthusiastic toast. We are then carried along to the day before the battle when the men are writing their last letters home. Here a beautiful scenic and photographic effect is introduced as the vision of the sweetheart of one of the lieutenants fades into view. This gives an opportunity to introduce that famous episode of the letter in which Lord Nelson called back the mail ship for a single message and which is endeared to the hearts of all those who sail the sea. We are then carried along to the morning of October twenty-first, Eighteen Hundred and Five, when the fleet of the enemy is sighted. The decks are cleared for action and the hoisting of the colors is portrayed with all the solemnity of the occasion before entering the battle. The correct incident of the hoisting of the famous signal ""England expects every man to do his duty"" is splendidly portrayed and carried out in every detail, and we note the pathetic touch in Nelson's life in bidding farewell to his captains having at the time a presentiment of his own death. We now get to the little human touch in his life and learn the true character of the man, for, in his last entry in his diary before the battle, he makes peace with his maker. And now we come to that wonderful spectacular picture of the real battle of Trafalgar. We see the ships in action, the firing of the guns, the ships caught on fire and then the camera switches to a close view of the deck of the Victory where human life is sacrificed by the hundreds, the fighting top of the Redoubtable, the fatal shot and Nelson's fall. We then see that wonderful character in his death, the solemnity, the beauty and the pathos of it all being carried out by the Edison players in all its grandeur; his farewell to Captain Hardy, the last kiss, the news of the victory and finally his death.
                        
                            —Moving Picture World synopsis
                        
                
    Synopsis
    
                "
"8","http://www.imdb.com/title/tt0471713/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"9","http://www.imdb.com/title/tt0904048/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    The teenage girl is first seen confessing and warned about having any impure thoughts or feelings. Her family has boarders and one day a young man moves in and they fall in love.
                        
                            —Ulf Kjell Gür
                        
                
    Synopsis
    
                "
"10","http://www.imdb.com/title/tt0266688/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    This is the oldest found dramatic film from Serbia made in 1911. ""Karadjordje"" is a biography of a famed leader of a rebellion against the Turkish empire in 1804. We can see his whole life since childhood until his death in 1817 and all historic events he took part in.
                        
                            —gervasiustvinkleminkleso
                        
                
    Synopsis
    
                "
